module	set	id	name	rarity	type	bv	arith	geom	logic	sci	speed
Ninefold Orchard	ninefold_orchard	pip	Pip	common	Science	13	1	1	3	6	2
Ninefold Orchard	ninefold_orchard	pip_upgraded	Pip (upgraded)	common_upgraded	Science	16	2	1	4	6	3
Ninefold Orchard	ninefold_orchard	nine	Nine	common	Speed	13	2	1	2	1	7
Ninefold Orchard	ninefold_orchard	nine_upgraded	Nine (upgraded)	common_upgraded	Speed	16	3	1	3	1	8
Ninefold Orchard	ninefold_orchard	bramble	Bramble	common	Science	13	2	1	2	7	1
Ninefold Orchard	ninefold_orchard	bramble_upgraded	Bramble (upgraded)	common_upgraded	Science	16	3	1	3	8	1
Ninefold Orchard	ninefold_orchard	sorrel	Sorrel	common	Science	13	2	2	2	5	2
Ninefold Orchard	ninefold_orchard	sorrel_upgraded	Sorrel (upgraded)	common_upgraded	Science	16	3	3	2	6	2
Ninefold Orchard	ninefold_orchard	russet	Russet	common	Geometry	13	2	6	2	2	1
Ninefold Orchard	ninefold_orchard	russet_upgraded	Russet (upgraded)	common_upgraded	Geometry	16	2	7	3	2	2
Ninefold Orchard	ninefold_orchard	halfpenny	Halfpenny	common	Speed	13	2	2	3	2	4
Ninefold Orchard	ninefold_orchard	halfpenny_upgraded	Halfpenny (upgraded)	common_upgraded	Speed	16	3	3	3	2	5
Ninefold Orchard	ninefold_orchard	wicker	Wicker	common	Geometry	13	1	6	2	2	2
Ninefold Orchard	ninefold_orchard	wicker_upgraded	Wicker (upgraded)	common_upgraded	Geometry	16	2	7	3	2	2
Ninefold Orchard	ninefold_orchard	furrow	Furrow	common	Speed	13	1	4	2	1	5
Ninefold Orchard	ninefold_orchard	furrow_upgraded	Furrow (upgraded)	common_upgraded	Speed	16	1	5	2	2	6
Ninefold Orchard	ninefold_orchard	dapple	Dapple	common	Speed	13	2	2	1	2	6
Ninefold Orchard	ninefold_orchard	dapple_upgraded	Dapple (upgraded)	common_upgraded	Speed	16	2	3	2	3	6
Ninefold Orchard	ninefold_orchard	bushel	Bushel	common	Arithmetic	13	5	1	2	3	2
Ninefold Orchard	ninefold_orchard	bushel_upgraded	Bushel (upgraded)	common_upgraded	Arithmetic	16	6	2	2	4	2
Ninefold Orchard	ninefold_orchard	tuppence	Tuppence	common	Arithmetic	13	4	1	4	2	2
Ninefold Orchard	ninefold_orchard	tuppence_upgraded	Tuppence (upgraded)	common_upgraded	Arithmetic	16	5	1	5	2	3
Ninefold Orchard	ninefold_orchard	windfall	Windfall	common	Speed	13	1	1	2	4	5
Ninefold Orchard	ninefold_orchard	windfall_upgraded	Windfall (upgraded)	common_upgraded	Speed	16	1	1	3	5	6
Ninefold Orchard	ninefold_orchard	cornix	Cornix	uncommon	Arithmetic	21	6	2	6	3	4
Ninefold Orchard	ninefold_orchard	cornix_upgraded	Cornix (upgraded)	uncommon_upgraded	Arithmetic	24	7	2	7	3	5
Ninefold Orchard	ninefold_orchard	thistlewick	Thistlewick	uncommon	Logic	21	4	4	5	4	4
Ninefold Orchard	ninefold_orchard	thistlewick_upgraded	Thistlewick (upgraded)	uncommon_upgraded	Logic	24	5	4	6	5	4
Ninefold Orchard	ninefold_orchard	beeswax	Beeswax	uncommon	Speed	21	2	2	4	6	7
Ninefold Orchard	ninefold_orchard	beeswax_upgraded	Beeswax (upgraded)	uncommon_upgraded	Speed	24	3	3	4	7	7
Ninefold Orchard	ninefold_orchard	kernel	Kernel	uncommon	Geometry	21	6	7	3	3	2
Ninefold Orchard	ninefold_orchard	kernel_upgraded	Kernel (upgraded)	uncommon_upgraded	Geometry	24	7	8	4	3	2
Ninefold Orchard	ninefold_orchard	millrace	Millrace	uncommon	Science	21	3	3	4	7	4
Ninefold Orchard	ninefold_orchard	millrace_upgraded	Millrace (upgraded)	uncommon_upgraded	Science	24	4	3	4	8	5
Ninefold Orchard	ninefold_orchard	cobweb	Cobweb	rare	Geometry	25	5	8	4	4	4
Ninefold Orchard	ninefold_orchard	amberly	Amberly	rare	Logic	25	4	4	7	6	4
Ninefold Orchard	ninefold_orchard	barrow	Barrow	rare	Logic	25	7	4	8	3	3
Ninefold Orchard	ninefold_orchard	driftwood	Driftwood	rare	Geometry	25	4	7	6	4	4
Ninefold Orchard	ninefold_orchard	gable	Gable	rare	Logic	25	5	4	6	6	4
Ninefold Orchard	ninefold_orchard	warden	Warden	epic	Arithmetic	34	8	6	8	6	6
Ninefold Orchard	ninefold_orchard	harvestmoon	Harvestmoon	epic	Logic	34	6	6	8	8	6
Ninefold Orchard	ninefold_orchard	ninebark	Ninebark	epic	Logic	34	8	7	9	6	4
Ninefold Orchard	ninefold_orchard	cascade	Cascade	epic	Science	34	8	6	6	9	5
Ninefold Orchard	ninefold_orchard	longshadow	Longshadow	epic	Science	34	6	6	7	8	7
Ninefold Orchard	ninefold_orchard	gossamer	Gossamer	epic	Geometry	34	5	9	6	6	8
Ninefold Orchard	ninefold_orchard	ninefoldtree	The Ninefold Tree	legendary	Arithmetic	45	9	9	9	9	9
Ninefold Orchard	ninefold_orchard	tenthscarecrow	The Tenth Scarecrow	legendary	Arithmetic	45	10	8	10	8	9
Ninefold Orchard	primary_bosses	boss_primary_1	The First Crow	boss_L1	Speed	13	2	2	2	1	6
Ninefold Orchard	primary_bosses	boss_primary_2	Old Roughweather	boss_L2	Logic	12	2	2	6	1	1
Ninefold Orchard	primary_bosses	boss_primary_3	Widdershins	boss_L3	Geometry	18	3	8	3	2	2
Ninefold Orchard	primary_bosses	boss_primary_4	Scratch	boss_L4	Logic	18	5	2	7	2	2
Ninefold Orchard	primary_bosses	boss_primary_5	The Maybe-Flock	boss_L5	Science	25	6	3	5	8	3
Ninefold Orchard	primary_bosses	boss_primary_6	Strawless	boss_L6	Geometry	25	3	9	5	5	3
Ninefold Orchard	primary_bosses	boss_primary_7	The Murder	boss_L7	Speed	33	8	5	6	5	9
Ninefold Orchard	primary_bosses	boss_primary_8	Hollow Bough	boss_L8	Science	33	6	6	7	9	5
Ninefold Orchard	primary_bosses	boss_primary_9	The Nearly	boss_L9	Arithmetic	44	9	9	9	8	9
Ninefold Orchard	primary_bosses	boss_primary_10	The First Scarecrow	boss_L10	Arithmetic	46	10	9	9	9	9
Little Reckoning	little_reckoning	addy	Addy	common	Speed	13	3	1	2	1	6
Little Reckoning	little_reckoning	addy_upgraded	Addy (upgraded)	common_upgraded	Speed	16	4	1	3	1	7
Little Reckoning	little_reckoning	countra	Countra	common	Arithmetic	13	4	2	3	2	2
Little Reckoning	little_reckoning	countra_upgraded	Countra (upgraded)	common_upgraded	Arithmetic	16	5	2	4	2	3
Little Reckoning	little_reckoning	tritip	Tri-Tip	common	Geometry	12	1	6	2	1	2
Little Reckoning	little_reckoning	tritip_upgraded	Tri-Tip (upgraded)	common_upgraded	Geometry	15	1	7	3	1	3
Little Reckoning	little_reckoning	cubble	Cubble	common	Science	12	2	2	2	5	1
Little Reckoning	little_reckoning	cubble_upgraded	Cubble (upgraded)	common_upgraded	Science	15	2	3	2	6	2
Little Reckoning	little_reckoning	hunchik	Hunchik	common	Logic	12	2	1	6	1	2
Little Reckoning	little_reckoning	hunchik_upgraded	Hunchik (upgraded)	common_upgraded	Logic	15	2	2	7	2	2
Little Reckoning	little_reckoning	sparkfin	Sparkfin	common	Science	12	1	1	2	5	3
Little Reckoning	little_reckoning	sparkfin_upgraded	Sparkfin (upgraded)	common_upgraded	Science	15	2	1	2	6	4
Little Reckoning	little_reckoning	zoomby	Zoomby	common	Speed	12	2	1	1	2	6
Little Reckoning	little_reckoning	zoomby_upgraded	Zoomby (upgraded)	common_upgraded	Speed	15	3	2	1	2	7
Little Reckoning	little_reckoning	pebble	Pebble	common	Geometry	12	2	4	2	2	2
Little Reckoning	little_reckoning	pebble_upgraded	Pebble (upgraded)	common_upgraded	Geometry	15	2	5	3	3	2
Little Reckoning	little_reckoning	loopy	Loopy	common	Logic	12	3	2	5	1	1
Little Reckoning	little_reckoning	loopy_upgraded	Loopy (upgraded)	common_upgraded	Logic	15	4	3	6	1	1
Little Reckoning	little_reckoning	burrowl	Burrowl	common	Science	12	3	1	2	5	1
Little Reckoning	little_reckoning	burrowl_upgraded	Burrowl (upgraded)	common_upgraded	Science	15	4	1	3	6	1
Little Reckoning	little_reckoning	squarby	Squarby	common	Speed	12	1	3	1	1	6
Little Reckoning	little_reckoning	squarby_upgraded	Squarby (upgraded)	common_upgraded	Speed	15	2	4	1	1	7
Little Reckoning	little_reckoning	frostcal	Frostcal	common	Arithmetic	13	4	2	2	4	1
Little Reckoning	little_reckoning	frostcal_upgraded	Frostcal (upgraded)	common_upgraded	Arithmetic	16	5	3	2	5	1
Little Reckoning	little_reckoning	multimoo	Multimoo	uncommon	Arithmetic	21	8	3	4	3	3
Little Reckoning	little_reckoning	multimoo_upgraded	Multimoo (upgraded)	uncommon_upgraded	Arithmetic	24	9	3	5	3	4
Little Reckoning	little_reckoning	anglorap	Angloraptor	rare	Geometry	25	5	8	4	4	4
Little Reckoning	little_reckoning	owlgorith	Owlgorithm	uncommon	Logic	21	4	3	8	4	2
Little Reckoning	little_reckoning	owlgorith_upgraded	Owlgorithm (upgraded)	uncommon_upgraded	Logic	24	4	4	9	5	2
Little Reckoning	little_reckoning	flaskfox	Flaskfox	uncommon	Science	21	3	3	4	8	3
Little Reckoning	little_reckoning	flaskfox_upgraded	Flaskfox (upgraded)	uncommon_upgraded	Science	24	4	3	4	9	4
Little Reckoning	little_reckoning	cheetawat	Cheetawatt	rare	Speed	25	5	4	4	4	8
Little Reckoning	little_reckoning	fractail	Fractail	uncommon	Speed	21	4	4	3	3	7
Little Reckoning	little_reckoning	fractail_upgraded	Fractail (upgraded)	uncommon_upgraded	Speed	24	5	5	4	3	7
Little Reckoning	little_reckoning	hexabug	Hexabug	rare	Geometry	25	5	7	5	4	4
Little Reckoning	little_reckoning	voltbird	Voltbird	uncommon	Speed	21	3	3	4	4	7
Little Reckoning	little_reckoning	voltbird_upgraded	Voltbird (upgraded)	uncommon_upgraded	Speed	24	4	4	4	5	7
Little Reckoning	little_reckoning	probear	Probear	rare	Logic	25	5	5	7	4	4
Little Reckoning	little_reckoning	seqviper	Seqviper	rare	Arithmetic	25	6	4	5	4	6
Little Reckoning	little_reckoning	primearch	Primearch	epic	Arithmetic	33	9	5	8	6	5
Little Reckoning	little_reckoning	geodrake	Geodrake	epic	Geometry	33	6	9	6	6	6
Little Reckoning	little_reckoning	paradox	Paradox	epic	Logic	33	6	6	9	6	6
Little Reckoning	little_reckoning	quantakit	Quantakit	epic	Science	33	6	6	6	9	6
Little Reckoning	little_reckoning	sphinxa	Sphinxa	epic	Logic	33	6	7	8	6	6
Little Reckoning	little_reckoning	novabear	Novabear	epic	Science	33	6	6	7	8	6
Little Reckoning	little_reckoning	infinitus	Infinitus	legendary	Arithmetic	46	10	9	10	9	8
Little Reckoning	little_reckoning	euclidon	Euclidon	legendary	Geometry	44	8	10	9	8	9
Little Reckoning	junior_bosses	boss_junior_1	The First Smudge	boss_L1	Speed	13	1	2	4	1	5
Little Reckoning	junior_bosses	boss_junior_2	Sister Roughly	boss_L2	Speed	12	1	2	2	1	6
Little Reckoning	junior_bosses	boss_junior_3	The Baron of Backwards	boss_L3	Logic	18	3	3	8	2	2
Little Reckoning	junior_bosses	boss_junior_4	The Forgetting Fog	boss_L4	Science	18	2	3	4	7	2
Little Reckoning	junior_bosses	boss_junior_5	General Guesswork	boss_L5	Arithmetic	25	8	4	6	4	3
Little Reckoning	junior_bosses	boss_junior_6	The Unshape	boss_L6	Geometry	25	4	9	4	5	3
Little Reckoning	junior_bosses	boss_junior_7	The Countless	boss_L7	Logic	33	7	6	9	6	5
Little Reckoning	junior_bosses	boss_junior_8	Madam Nought	boss_L8	Science	33	6	5	8	9	5
Little Reckoning	junior_bosses	boss_junior_9	The Almost	boss_L9	Arithmetic	44	9	9	9	8	9
Little Reckoning	junior_bosses	boss_junior_10	The Muddle King	boss_L10	Arithmetic	46	10	9	10	9	8
Gifford	gifford	gf_aldous	Aldous Wrought	legendary	Arithmetic	44	9	9	9	9	8
Gifford	gifford	gf_theengine	The Differential Engine	legendary	Arithmetic	45	9	9	9	9	9
Gifford	gifford	gf_prewitt	Chancellor Isolde Prewitt	epic	Geometry	33	6	9	6	6	6
Gifford	gifford	gf_vane	Silas Vane	epic	Logic	33	7	6	7	6	7
Gifford	gifford	gf_ashcombe	Captain Reeve Ashcombe	epic	Arithmetic	33	7	7	7	6	6
Gifford	gifford	gf_thorncastle	Professor Linnea Thorncastle	epic	Science	33	7	6	6	8	6
Gifford	gifford	gf_halloway	Mother Halloway	epic	Science	33	7	7	6	7	6
Gifford	gifford	gf_kell	Grandmaster Osric Kell	epic	Logic	33	8	6	9	5	5
Gifford	gifford	gf_tessa	Tessa Brindle	rare	Speed	25	5	5	5	5	5
